Rank,Previous Rank,Video Title,Artist Names,Periods on Chart,Views,Growth,YouTube URL
86,n/a,Qué Pasaría...,Rauw Alejandro & Bad Bunny,36,n/a,n/a,https://www.youtube.com/watch?v=g08y_x83d5E
87,n/a,Moonlight (Instrumental),XXXTENTACION,1,n/a,n/a,https://www.youtube.com/watch?v=GX8Hg6kWQYI
88,n/a,5-7,Tito Double P & Junior H,38,n/a,n/a,https://www.youtube.com/watch?v=fYisEGn8etQ
89,n/a,Armed And Dangerous,Juice WRLD,18,n/a,n/a,https://www.youtube.com/watch?v=cr82wSBZeeQ
90,n/a,Little Things,Ella Mai,14,n/a,n/a,https://www.youtube.com/watch?v=bbw4-yOszDc
91,n/a,Love Somebody,Morgan Wallen,46,n/a,n/a,https://www.youtube.com/watch?v=zxMo0CZZzyg
92,n/a,Rap God,Eminem,30,n/a,n/a,https://www.youtube.com/watch?v=XbGs_qK2PQA
93,n/a,FE!N,Travis Scott,78,n/a,n/a,https://www.youtube.com/watch?v=B9synWjqBn8
94,n/a,Last Lap,Rod Wave,54,n/a,n/a,https://www.youtube.com/watch?v=k-z52Y1MoSY
95,n/a,My Baby,STAR BANDZ & Sugarhill Ddot,80,n/a,n/a,https://www.youtube.com/watch?v=AR7fbSL54f8
96,n/a,Big Dawgs,Hanumankind & Kalmi,130,n/a,n/a,https://www.youtube.com/watch?v=hOHKltAiKXQ
97,n/a,DIOS POR DELANTE,Hermanos Espinoza,100,n/a,n/a,https://www.youtube.com/watch?v=qiLSiIByZNE
98,n/a,The Door,Teddy Swims,69,n/a,n/a,https://www.youtube.com/watch?v=VSXT4a2kRHA
99,n/a,One Take Freestyle,1900Rugrat,17,n/a,n/a,https://www.youtube.com/watch?v=cnuHqOuM8cA
100,n/a,El Punto (Prod. by Ernesto Losa),Charly & Johayron & Bebeshito & El Taiger & Ernesto Losa,82,n/a,n/a,https://www.youtube.com/watch?v=ae41hY_QdY0
